chirpstack_time,server_time,devName,devEui,humidity,temperature
1662078257302,1662078257614,EM300-1,24e124136c195948,67.5,17.6
1662078551876,1662078552159,EM300-1,24e124136c195948,84.5,18.7
1662078851000,1662078852193,EM300-1,24e124136c195948,84.5,18.6
1662079151000,1662079152154,EM300-1,24e124136c195948,84.5,18.6
1662079210000,1662079210829,EM300-2,24e124136b327793,67.5,17.6
1662079451000,1662079452193,EM300-1,24e124136c195948,85,18.6
1662079605000,1662079605987,EM300-3,24e124136b327790,68.5,17.7
1662079610000,1662079610802,EM300-3,24e124136b327790,68.5,17.6
1662079751000,1662079752163,EM300-1,24e124136c195948,85,18.6
1662079804000,1662079804925,EM300-2,24e124136b327793,82,18.3
1662079900000,1662079900559,EM300-3,24e124136b327790,76,18.4
1662080051000,1662080052220,EM300-1,24e124136c195948,85,18.4
1662080104000,1662080104891,EM300-2,24e124136b327793,83,18.3
1662080404000,1662080404939,EM300-2,24e124136b327793,82.5,18.3
1662080500000,1662080500451,EM300-3,24e124136b327790,78,18.5
1662080651000,1662080652124,EM300-1,24e124136c195948,85.5,18.4
1662080704000,1662080704878,EM300-2,24e124136b327793,82.5,18.3
1662080800000,1662080800487,EM300-3,24e124136b327790,79,18.5
1662080951000,1662080952163,EM300-1,24e124136c195948,85.5,18.5
1662081004000,1662081004919,EM300-2,24e124136b327793,80.5,18.4
1662081100000,1662081100533,EM300-3,24e124136b327790,79.5,18.5
1662081251000,1662081252107,EM300-1,24e124136c195948,85,18.6
1662081304000,1662081304879,EM300-2,24e124136b327793,81,18.3
1662081400000,1662081400489,EM300-3,24e124136b327790,77.5,18.5
1662081551000,1662081552161,EM300-1,24e124136c195948,85,18.7
1662081604000,1662081604929,EM300-2,24e124136b327793,80,18.4
1662081700000,1662081700527,EM300-3,24e124136b327790,78.5,18.5
1662081851000,1662081852112,EM300-1,24e124136c195948,85.5,18.6
1662081904586,1662081904874,EM300-2,24e124136b327793,80.5,18.3
1662082151866,1662082152172,EM300-1,24e124136c195948,85,18.6
1662082204580,1662082204832,EM300-2,24e124136b327793,80,18.5
1662082300202,1662082300441,EM300-3,24e124136b327790,76.5,18.4
1662082451865,1662082452124,EM300-1,24e124136c195948,85.5,18.6
1662082504000,1662082504888,EM300-2,24e124136b327793,79.5,18.4
1662082600000,1662082600508,EM300-3,24e124136b327790,75.5,18.4
1662082804000,1662082804834,EM300-2,24e124136b327793,79.5,18.3
1662082900000,1662082900443,EM300-3,24e124136b327790,77.5,18.4
1662083051000,1662083052120,EM300-1,24e124136c195948,86.5,18.7
1662083104000,1662083104878,EM300-2,24e124136b327793,79,18.5
1662083200000,1662083200491,EM300-3,24e124136b327790,75,18.5
1662083351000,1662083352152,EM300-1,24e124136c195948,86.5,18.7
1662083404000,1662083404807,EM300-2,24e124136b327793,79,18.4
1662083500000,1662083500427,EM300-3,24e124136b327790,75,18.6
1662083651000,1662083652105,EM300-1,24e124136c195948,85.5,18.8
1662083704000,1662083704857,EM300-2,24e124136b327793,80.5,18.5
1662083800000,1662083800404,EM300-3,24e124136b327790,77,18.6
1662083951000,1662083952190,EM300-1,24e124136c195948,85.5,18.8
1662084004000,1662084004846,EM300-2,24e124136b327793,81,18.4
1662084100000,1662084100483,EM300-3,24e124136b327790,76.5,18.5
1662084251000,1662084252161,EM300-1,24e124136c195948,85.5,18.7
1662084304000,1662084304816,EM300-2,24e124136b327793,83,18.6
1662084400000,1662084400438,EM300-3,24e124136b327790,77.5,18.5
1662084551000,1662084552119,EM300-1,24e124136c195948,85.5,18.8
1662084853000,1662084854367,EM300-1,24e124136c195948,85.5,18.9
1662084904000,1662084904829,EM300-2,24e124136b327793,83,18.6
1662085000000,1662085000418,EM300-3,24e124136b327790,78.5,18.5
1662085151000,1662085152094,EM300-1,24e124136c195948,85.5,19
1662085204000,1662085204765,EM300-2,24e124136b327793,81,18.5
1662085300000,1662085300373,EM300-3,24e124136b327790,79,18.7
1662085451000,1662085452166,EM300-1,24e124136c195948,85.5,19
1662085504509,1662085504729,EM300-2,24e124136b327793,82,18.7
1662085600149,1662085600430,EM300-3,24e124136b327790,79,18.6
1662085751871,1662085752112,EM300-1,24e124136c195948,85.5,19
1662085804496,1662085804772,EM300-2,24e124136b327793,83,18.6
1662085900141,1662085900397,EM300-3,24e124136b327790,78.5,18.7
1662086051870,1662086052167,EM300-1,24e124136c195948,84.5,19
1662086104000,1662086104738,EM300-2,24e124136b327793,82,18.7
1662086200000,1662086200446,EM300-3,24e124136b327790,78.5,18.6
1662086353000,1662086354330,EM300-1,24e124136c195948,84.5,19.1
1662086406000,1662086406890,EM300-2,24e124136b327793,81,18.7
1662086500000,1662086500403,EM300-3,24e124136b327790,78,18.6
1662086653000,1662086654269,EM300-1,24e124136c195948,85,19.1
1662086704000,1662086704728,EM300-2,24e124136b327793,80,18.6
1662086800000,1662086800436,EM300-3,24e124136b327790,77.5,18.6
1662086951000,1662086952133,EM300-1,24e124136c195948,85,19.2
1662087004000,1662087004684,EM300-2,24e124136b327793,79.5,18.7
1662087100000,1662087100404,EM300-3,24e124136b327790,76.5,18.6
1662087251000,1662087252108,EM300-1,24e124136c195948,85,19.2
1662087304000,1662087304752,EM300-2,24e124136b327793,79,18.8
1662087400000,1662087400359,EM300-3,24e124136b327790,76.5,18.6
1662087553000,1662087554338,EM300-1,24e124136c195948,85.5,19.3
1662087604000,1662087604695,EM300-2,24e124136b327793,79,18.7
1662087700000,1662087700404,EM300-3,24e124136b327790,76.5,18.6
1662087851000,1662087852193,EM300-1,24e124136c195948,85.5,19.2
1662087904000,1662087904726,EM300-2,24e124136b327793,79.5,18.6
1662088000000,1662088000369,EM300-3,24e124136b327790,76,18.7
1662088151000,1662088152149,EM300-1,24e124136c195948,85.5,19.2
1662088206000,1662088206911,EM300-2,24e124136b327793,83,18.6
1662088302000,1662088302516,EM300-3,24e124136b327790,78.5,18.8
1662088451000,1662088452180,EM300-1,24e124136c195948,86,18.9
1662088504000,1662088504647,EM300-2,24e124136b327793,82.5,18.8
1662088600000,1662088600353,EM300-3,24e124136b327790,78.5,18.8
1662088804000,1662088804693,EM300-2,24e124136b327793,80.5,18.8
1662088900000,1662088900300,EM300-3,24e124136b327790,80,18.8
1662089051000,1662089052177,EM300-1,24e124136c195948,87.5,19
1662089104000,1662089104637,EM300-2,24e124136b327793,79.5,18.7
1662089200067,1662089200340,EM300-3,24e124136b327790,79,18.8
1662089351850,1662089352115,EM300-1,24e124136c195948,88,19.1
1662089404388,1662089404667,EM300-2,24e124136b327793,79.5,18.8
1662089502232,1662089502483,EM300-3,24e124136b327790,77.5,18.8
